Id;X;Y;Z
0;3.9350488139563540e-16;0.0000000000000000e+00;1.0000000000000000e+02
1;8.9442715697387499e+01;0.0000000000000000e+00;4.4721366355203337e+01
2;2.7639320648398279e+01;8.5065081152045522e+01;4.4721358685654153e+01
3;-7.2360679406086348e+01;5.2573112417058987e+01;4.4721358730173563e+01
4;-7.2360679406086348e+01;-5.2573112417058987e+01;4.4721358730173563e+01
5;2.7639320648398279e+01;-8.5065081152045522e+01;4.4721358685654153e+01
6;7.2360679406086348e+01;5.2573112417058987e+01;-4.4721358730173563e+01
7;7.2360679406086348e+01;-5.2573112417058987e+01;-4.4721358730173563e+01
8;-2.7639320648398279e+01;8.5065081152045522e+01;-4.4721358685654153e+01
9;-8.9442715697387499e+01;0.0000000000000000e+00;-4.4721366355203337e+01
10;-2.7639320648398279e+01;-8.5065081152045522e+01;-4.4721358685654153e+01
11;3.9350488139563540e-16;0.0000000000000000e+00;-1.0000000000000000e+02
12;4.4089125220139707e+01;7.5008900936435936e+01;4.9293141689597945e+01
13;6.1088761467118161e+01;5.9546826938148016e+01;5.2176034958702935e+01
14;7.5509861246764771e+01;3.9697884625431996e+01;5.2176036748302579e+01
15;8.4961989919572005e+01;1.8752225234108984e+01;4.9293146761753711e+01
16;2.4371869729799744e+01;7.5008901367937213e+01;6.1479075151214957e+01
17;4.1486360369466844e+01;6.1424229582974910e+01;6.7126342991650588e+01
18;5.8258750272177743e+01;4.2327460935880197e+01;6.9385186224766798e+01
19;7.1237901145123146e+01;2.0474743012374756e+01;6.7126346087172607e+01
20;7.8869021800064431e+01;0.0000000000000000e+00;6.1479080997530858e+01
21;1.9347937331747815e+01;5.9546827513837478e+01;7.7973281667786978e+01
22;3.6005888222527048e+01;4.2327461090954664e+01;8.3138210534630872e+01
23;5.1382237018042744e+01;2.1163730344533882e+01;8.3138211653399992e+01
24;6.2611235520230402e+01;0.0000000000000000e+00;7.7973285082970818e+01
25;1.2898624887831877e+01;3.9697885009224983e+01;9.0871906559713807e+01
26;2.8181065383113214e+01;2.0474743082583146e+01;9.3736932153633617e+01
27;4.1740823680153611e+01;0.0000000000000000e+00;9.0871907862123862e+01
28;6.0929674324499379e+00;1.8752225341984307e+01;9.8036879757520580e+01
29;1.9717255450016115e+01;0.0000000000000000e+00;9.8036879986660182e+01
30;-5.7713414463590297e+01;6.5110276597135368e+01;4.9293140216447682e+01
31;-3.7754931489215863e+01;7.6499848767025327e+01;5.2176031727862082e+01
32;-1.4421100291523329e+01;8.4081469900323299e+01;5.2176031717473982e+01
33;8.4202742070012384e+00;8.6598414031569575e+01;4.9293140187005370e+01
