Id;Origin;End
0;0;28
1;0;29
2;1;15
3;1;20
4;2;12
5;2;16
6;12;13
7;12;16
8;12;17
9;13;14
10;13;17
11;13;18
12;14;15
13;14;18
14;14;19
15;15;19
16;15;20
17;16;17
18;16;21
19;17;18
20;17;21
21;17;22
22;18;19
23;18;22
24;18;23
25;19;20
26;19;23
27;19;24
28;20;24
29;21;22
30;21;25
31;22;23
32;22;25
33;22;26
34;23;24
35;23;26
36;23;27
37;24;27
38;25;26
39;25;28
40;26;27
41;26;28
42;26;29
43;27;29
44;28;29
45;0;43
46;2;33
47;3;30
48;3;34
49;30;31
50;30;34
51;30;35
52;31;32
53;31;35
54;31;36
55;32;33
56;32;36
57;32;37
58;33;37
59;33;16
60;34;35
61;34;38
62;35;36
63;35;38
64;35;39
65;36;37
66;36;39
67;36;40
68;37;16
69;37;40
70;37;21
71;38;39
72;38;41
73;39;40
74;39;41
75;39;42
76;40;21
77;40;42
78;40;25
79;41;42
80;41;43
81;42;25
82;42;43
83;42;28
84;43;28
85;0;57
86;3;47
87;4;44
88;4;48
89;44;45
90;44;48
91;44;49
92;45;46
93;45;49
94;45;50
95;46;47
96;46;50
97;46;51
98;47;51
99;47;34
100;48;49
101;48;52
102;49;50
103;49;52
104;49;53
105;50;51
106;50;53
107;50;54
108;51;34
109;51;54
110;51;38
111;52;53
112;52;55
113;53;54
114;53;55
115;53;56
116;54;38
117;54;56
118;54;41
119;55;56
120;55;57
121;56;41
122;56;57
123;56;43
124;57;43
125;0;71
126;4;61
127;5;58
128;5;62
129;58;59
130;58;62
131;58;63
132;59;60
133;59;63
134;59;64
135;60;61
136;60;64
137;60;65
138;61;65
139;61;48
140;62;63
141;62;66
142;63;64
143;63;66
144;63;67
145;64;65
146;64;67
147;64;68
148;65;48
149;65;68
150;65;52
151;66;67
152;66;69
153;67;68
154;67;69
155;67;70
156;68;52
157;68;70
158;68;55
159;69;70
160;69;71
161;70;55
162;70;71
163;70;57
164;71;57
165;5;75
166;1;72
167;72;73
168;72;20
169;72;76
170;73;74
171;73;76
172;73;77
173;74;75
174;74;77
175;74;78
176;75;78
177;75;62
178;20;76
179;76;77
180;76;24
181;76;79
182;77;78
183;77;79
184;77;80
185;78;62
186;78;80
187;78;66
188;24;79
189;79;80
190;79;27
191;79;81
192;80;66
193;80;81
194;80;69
195;27;81
196;81;69
197;81;29
198;81;71
199;29;71
200;1;95
201;5;85
202;7;82
203;7;86
204;82;83
205;82;86
206;82;87
207;83;84
208;83;87
209;83;88
210;84;85
211;84;88
212;84;89
213;85;89
214;85;75
215;86;87
216;86;90
217;87;88
218;87;90
219;87;91
220;88;89
221;88;91
222;88;92
223;89;75
224;89;92
225;89;74
226;90;91
227;90;93
228;91;92
229;91;93
230;91;94
231;92;74
232;92;94
233;92;73
234;93;94
235;93;95
236;94;73
237;94;95
238;94;72
239;95;72
240;1;109
241;7;99
242;6;96
243;6;100
244;96;97
245;96;100
246;96;101
247;97;98
248;97;101
249;97;102
250;98;99
251;98;102
252;98;103
253;99;103
254;99;86
255;100;101
256;100;104
257;101;102
258;101;104
259;101;105
260;102;103
261;102;105
262;102;106
263;103;86
264;103;106
265;103;90
266;104;105
267;104;107
268;105;106
269;105;107
270;105;108
271;106;90
272;106;108
273;106;93
274;107;108
275;107;109
276;108;93
277;108;109
278;108;95
279;109;95
280;6;113
281;2;110
282;110;111
283;110;12
284;110;114
285;111;112
286;111;114
287;111;115
288;112;113
289;112;115
290;112;116
291;113;116
292;113;100
293;12;114
294;114;115
295;114;13
296;114;117
297;115;116
298;115;117
299;115;118
300;116;100
301;116;118
302;116;104
303;13;117
304;117;118
305;117;14
306;117;119
307;118;104
308;118;119
309;118;107
310;14;119
311;119;107
312;119;15
313;119;109
314;15;109
315;2;133
316;6;123
317;8;120
318;8;124
319;120;121
320;120;124
321;120;125
322;121;122
323;121;125
324;121;126
325;122;123
326;122;126
327;122;127
328;123;127
329;123;113
330;124;125
331;124;128
332;125;126
333;125;128
334;125;129
335;126;127
336;126;129
337;126;130
338;127;113
339;127;130
340;127;112
341;128;129
342;128;131
343;129;130
344;129;131
345;129;132
346;130;112
347;130;132
348;130;111
349;131;132
350;131;133
351;132;111
352;132;133
353;132;110
354;133;110
355;8;137
356;3;134
357;134;135
358;134;30
359;134;138
360;135;136
361;135;138
362;135;139
363;136;137
364;136;139
365;136;140
366;137;140
367;137;124
368;30;138
369;138;139
370;138;31
371;138;141
372;139;140
373;139;141
374;139;142
375;140;124
376;140;142
377;140;128
378;31;141
379;141;142
380;141;32
381;141;143
382;142;128
383;142;143
384;142;131
385;32;143
386;143;131
387;143;33
388;143;133
389;33;133
390;3;157
391;8;147
392;9;144
393;9;148
394;144;145
395;144;148
396;144;149
397;145;146
398;145;149
399;145;150
400;146;147
401;146;150
402;146;151
403;147;151
404;147;137
405;148;149
406;148;152
407;149;150
408;149;152
409;149;153
410;150;151
411;150;153
412;150;154
413;151;137
414;151;154
415;151;136
416;152;153
417;152;155
418;153;154
419;153;155
420;153;156
421;154;136
422;154;156
423;154;135
424;155;156
425;155;157
426;156;135
427;156;157
428;156;134
429;157;134
430;9;161
431;4;158
432;158;159
433;158;44
434;158;162
435;159;160
436;159;162
437;159;163
438;160;161
439;160;163
440;160;164
441;161;164
442;161;148
443;44;162
444;162;163
445;162;45
446;162;165
447;163;164
448;163;165
449;163;166
450;164;148
451;164;166
452;164;152
453;45;165
454;165;166
455;165;46
456;165;167
457;166;152
458;166;167
459;166;155
460;46;167
461;167;155
462;167;47
463;167;157
464;47;157
465;4;181
466;9;171
467;10;168
468;10;172
469;168;169
470;168;172
471;168;173
472;169;170
473;169;173
474;169;174
475;170;171
476;170;174
477;170;175
478;171;175
479;171;161
480;172;173
481;172;176
482;173;174
483;173;176
484;173;177
485;174;175
486;174;177
487;174;178
488;175;161
489;175;178
490;175;160
491;176;177
492;176;179
493;177;178
494;177;179
495;177;180
496;178;160
497;178;180
498;178;159
499;179;180
500;179;181
501;180;159
502;180;181
503;180;158
504;181;158
505;10;185
506;5;182
507;182;183
508;182;58
509;182;186
510;183;184
511;183;186
512;183;187
513;184;185
514;184;187
515;184;188
516;185;188
517;185;172
518;58;186
519;186;187
520;186;59
521;186;189
522;187;188
523;187;189
524;187;190
525;188;172
526;188;190
527;188;176
528;59;189
529;189;190
530;189;60
531;189;191
532;190;176
533;190;191
534;190;179
535;60;191
536;191;179
537;191;61
538;191;181
539;61;181
540;10;195
541;7;192
542;192;193
543;192;82
544;192;196
545;193;194
546;193;196
547;193;197
548;194;195
549;194;197
550;194;198
551;195;198
552;195;185
553;82;196
554;196;197
555;196;83
556;196;199
557;197;198
558;197;199
559;197;200
560;198;185
561;198;200
562;198;184
563;83;199
564;199;200
565;199;84
566;199;201
567;200;184
568;200;201
569;200;183
570;84;201
571;201;183
572;201;85
573;201;182
574;85;182
575;6;215
576;7;205
577;11;202
578;11;206
579;202;203
580;202;206
581;202;207
582;203;204
583;203;207
584;203;208
585;204;205
586;204;208
587;204;209
588;205;209
589;205;99
590;206;207
591;206;210
592;207;208
593;207;210
594;207;211
595;208;209
596;208;211
597;208;212
598;209;99
599;209;212
600;209;98
601;210;211
602;210;213
603;211;212
604;211;213
605;211;214
606;212;98
607;212;214
608;212;97
609;213;214
610;213;215
611;214;97
612;214;215
613;214;96
614;215;96
615;11;219
616;8;216
617;216;217
618;216;120
619;216;220
620;217;218
621;217;220
622;217;221
623;218;219
624;218;221
625;218;222
626;219;222
627;219;206
628;120;220
629;220;221
630;220;121
631;220;223
632;221;222
633;221;223
634;221;224
635;222;206
636;222;224
637;222;210
638;121;223
639;223;224
640;223;122
641;223;225
642;224;210
643;224;225
644;224;213
645;122;225
646;225;213
647;225;123
648;225;215
649;123;215
650;10;229
651;11;226
652;226;227
653;226;202
654;226;230
655;227;228
656;227;230
657;227;231
658;228;229
659;228;231
660;228;232
661;229;232
662;229;195
663;202;230
664;230;231
665;230;203
666;230;233
667;231;232
668;231;233
669;231;234
670;232;195
671;232;234
672;232;194
673;203;233
674;233;234
675;233;204
676;233;235
677;234;194
678;234;235
679;234;193
680;204;235
681;235;193
682;235;205
683;235;192
684;205;192
685;11;239
686;9;236
687;236;237
688;236;144
689;236;240
690;237;238
691;237;240
692;237;241
693;238;239
694;238;241
695;238;242
696;239;242
697;239;219
698;144;240
699;240;241
700;240;145
701;240;243
702;241;242
703;241;243
704;241;244
705;242;219
706;242;244
707;242;218
708;145;243
709;243;244
710;243;146
711;243;245
712;244;218
713;244;245
714;244;217
715;146;245
716;245;217
717;245;147
718;245;216
719;147;216
720;229;168
721;229;246
722;228;246
723;228;247
724;227;247
725;227;248
726;226;248
727;226;239
728;168;246
729;246;247
730;246;169
731;246;249
732;247;248
733;247;249
734;247;250
